Gene	log2FoldChange (<0 higher in 4, >0 higher in 15)	Padj 4 v 15	log2FoldChange (<0 higher in 15, >0 higher in 20)	Padj 15 v 20	log2FoldChange (<0 higher in 4, >0 higher in 20)	Padj 4 v 20	Gene Name	Pathway
sps_RS00630	-2.02843	0.02282	0.07237	0.99000	-1.95605	0.03012	flagellar type III secretion system protein FliQ	Cell motility
sps_RS00635	-1.01168	0.10208	-0.27453	0.99000	-1.28621	0.03703	flagellar biosynthetic protein FliR	Cell motility
sps_RS00640	-1.00700	0.00860	-0.07647	0.98934	-1.08347	0.00509	flagellar biosynthesis protein FlhB	Cell motility
sps_RS00645	-0.58462	0.22093	0.18090	0.98433	-0.40372	0.42995	flagellar biosynthesis protein FlhA	Cell motility
sps_RS00650	-0.01590	0.98196	-0.21675	0.97103	-0.23265	0.68790	alpha/beta hydrolase	Lipid metabolism
sps_RS00655	-0.43684	0.36478	-0.29188	0.94155	-0.72873	0.10236	DUF885 domain-containing protein	Function Unknown
sps_RS00660	0.71996	0.19207	-0.78258	0.51108	-0.06262	0.93384	oxygen-independent coproporphyrinogen III oxidase	Coenzyme metabolism
sps_RS00665	-1.56436	0.00065	-0.01083	0.99553	-1.57519	0.00066	DUF2489 domain-containing protein	Function Unknown
sps_RS00670	-0.70771	0.16388	0.05317	0.99271	-0.65454	0.20668	Der GTPase-activating protein YihI	Function Unknown
sps_RS00675	-3.31699	0.00041	-0.09339	0.99271	-3.41037	0.00027	methyltransferase domain-containing protein	Function Unknown
sps_RS00680	0.97918	0.09285	0.40387	0.93098	1.38305	0.01234	cytochrome c4	Energy production and conversion
sps_RS00685	0.64970	0.00764	-0.72709	0.02507	-0.07739	0.82281	YihA family ribosome biogenesis GTP-binding protein	Function Unknown
sps_RS00690	-0.01709	0.97734	0.26500	0.93415	0.24791	0.59952	DNA polymerase I	Replication and repair
sps_RS00695	-0.16112	0.75940	-0.09416	0.98934	-0.25528	0.61842	isoprenoid biosynthesis protein ElbB	Secondary Structure
sps_RS00700	0.73011	0.16027	0.13937	0.98934	0.86948	0.08444	rhomboid family intramembrane serine protease GlpG	Function Unknown
sps_RS00705	1.03542	0.01392	-0.24656	0.96424	0.78886	0.07423	thiosulfate sulfurtransferase GlpE	Inorganic ion transport and metabolism
sps_RS00710	1.50803	0.00007	0.28965	0.93159	1.79768	0.00000	L-threonine 3-dehydrogenase	Amino Acid metabolis and transport
sps_RS00715	0.71008	0.10360	0.26621	0.95011	0.97629	0.01885	glycine C-acetyltransferase	Coenzyme metabolism
sps_RS00720	-0.58414	0.34734	0.22416	0.98433	-0.35998	0.59968	TetR family transcriptional regulator	Transcription
sps_RS00725	0.00777	0.99010	0.33997	0.90645	0.34774	0.48903	3-deoxy-D-manno-octulosonic acid transferase	Cell wall/membrane/envelop biogenesis
sps_RS00730	-0.17392	0.75126	0.15969	0.98745	-0.01423	0.98253	3-deoxy-D-manno-octulosonic acid kinase	Transcription
sps_RS00735	-0.01229	0.98664	-0.08002	0.99009	-0.09231	0.88564	dTDP-4-dehydrorhamnose reductase	Cell wall/membrane/envelop biogenesis
sps_RS00740	0.65916	0.13146	-0.69257	0.42963	-0.03341	0.95694	dTDP-glucose 4,6-dehydratase	Cell wall/membrane/envelop biogenesis
sps_RS00745	1.02776	0.01134	-0.47353	0.73763	0.55423	0.21702	dTDP-4-dehydrorhamnose 3,5-epimerase	Cell wall/membrane/envelop biogenesis
sps_RS00750	0.15752	0.94668	-0.16034	0.99271	-0.00282	0.99981	family 2 glycosyl transferase	Cell wall/membrane/envelop biogenesis
sps_RS00755	0.30935	0.63708	0.57815	0.77134	0.88750	0.10870	glycosyltransferase family 9 protein	Cell wall/membrane/envelop biogenesis
sps_RS00760	-1.79728	0.10288	0.56388	0.96631	-1.23340	0.29433	hypothetical protein	Function Unknown
sps_RS00765	-2.28826	0.07012	0.71250	0.96542	-1.57577	0.23948	hypothetical protein	Function Unknown
sps_RS00770	0.59356	0.14686	-0.90661	0.11340	-0.31305	0.49374	hypothetical protein	Function Unknown
sps_RS00775	-0.34574	0.60213	0.11588	0.98934	-0.22986	0.74942	glycosyl transferase	Cell wall/membrane/envelop biogenesis
sps_RS00780	-0.92277	0.47462	0.12358	0.99271	-0.79920	0.55040	glycosyl transferase	NA
sps_RS00785	-0.18636	0.75887	-0.02325	0.99271	-0.20961	0.73842	lipopolysaccharide heptosyltransferase family protein	Cell wall/membrane/envelop biogenesis
sps_RS00790	-0.45530	0.45828	-0.01879	0.99369	-0.47409	0.44252	CDP-glycerol--poly(glycerophosphate) glycerophosphotransferase	Function Unknown
sps_RS00795	-0.99845	0.37663	0.26791	0.98934	-0.73054	0.54185	glycerol-3-phosphate cytidylyltransferase	Lipid metabolism
sps_RS00800	-0.20116	0.82304	-0.05388	0.99271	-0.25504	0.78387	ADP-glyceromanno-heptose 6-epimerase	Cell wall/membrane/envelop biogenesis
sps_RS00805	0.96982	0.04241	0.36005	0.91174	1.32987	0.00367	bifunctional D-glycero-beta-D-manno-heptose-7-phosphate kinase/D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase HldE	Coenzyme metabolism
sps_RS00810	0.61539	0.44419	0.06680	0.99271	0.68219	0.39443	pantetheine-phosphate adenylyltransferase	Coenzyme metabolism
sps_RS00815	0.46546	0.25589	0.23629	0.95308	0.70175	0.06672	capsule assembly Wzi family protein	Function Unknown
sps_RS00820	0.17855	0.73131	-0.20132	0.97101	-0.02278	0.97048	bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase	Replication and repair
sps_RS00825	0.64592	0.44669	-0.77513	0.78323	-0.12921	0.90515	hypothetical protein	NA
sps_RS00830	-0.08611	0.91847	-0.11803	0.98934	-0.20414	0.80868	GTP 3',8-cyclase MoaA	Coenzyme metabolism
sps_RS00835	0.66100	0.30572	0.14432	0.98934	0.80532	0.20028	bifunctional molybdopterin-guanine dinucleotide biosynthesis adaptor protein MobB/molybdopterin molybdotransferase MoeA	Coenzyme metabolism
sps_RS00840	0.55784	0.31606	-0.53892	0.77553	0.01892	0.98041	molybdenum cofactor guanylyltransferase	Coenzyme metabolism
sps_RS00845	0.20042	0.70642	0.07329	0.99009	0.27371	0.59882	ABC transporter	Inorganic ion transport and metabolism
sps_RS00850	-0.21113	0.76865	0.57225	0.79555	0.36112	0.60280	ABC transporter permease	Inorganic ion transport and metabolism
sps_RS00855	1.73594	0.00018	-0.60315	0.69031	1.13279	0.02059	tungsten ABC transporter substrate-binding protein	Coenzyme metabolism
sps_RS00860	0.68367	0.27103	-0.24903	0.97607	0.43464	0.52058	sigma-54-dependent Fis family transcriptional regulator	Signal Transduction
sps_RS00865	-0.19987	0.55703	-0.35645	0.70126	-0.55632	0.05956	HAMP domain-containing protein	Signal Transduction
sps_RS00870	-2.32028	0.00011	0.22887	0.98934	-2.09141	0.00056	VUT family protein	Function Unknown
sps_RS00875	0.06628	0.91334	-0.85351	0.34449	-0.78723	0.10870	ABC transporter substrate-binding protein	Function Unknown
sps_RS00880	0.62177	0.15252	-0.90113	0.16592	-0.27935	0.58088	isochorismate synthase	Coenzyme metabolism
sps_RS00885	0.68159	0.00505	-0.06798	0.98934	0.61361	0.01328	DUF3391 domain-containing protein	Signal Transduction
sps_RS00890	0.61464	0.20528	-0.20702	0.97183	0.40762	0.43751	paraquat-inducible membrane protein A	Function Unknown
sps_RS00895	1.97784	0.00000	-0.42808	0.49039	1.54975	0.00000	putative sulfate exporter family transporter	Function Unknown
sps_RS00900	0.71127	0.12632	-0.05785	0.99271	0.65342	0.16637	glutathione-disulfide reductase	Post-translational modification, protein turnover, chaperone functions
sps_RS00905	-1.42038	0.05716	0.27362	0.99000	-1.14675	0.13482	hypothetical protein	NA
sps_RS00910	-0.50274	0.17981	0.00696	0.99627	-0.49579	0.19122	hypothetical protein	Function Unknown
sps_RS00915	2.45713	0.00000	0.01617	0.99369	2.47330	0.00000	oligopeptidase A	Amino Acid metabolis and transport
sps_RS00920	0.04291	0.97934	0.24794	0.98934	0.29085	0.83686	hypothetical protein	NA
sps_RS00925	-0.17921	0.81697	0.42164	0.93316	0.24243	0.76110	thioesterase	Function Unknown
sps_RS00930	-0.19335	0.78401	-0.70114	0.69031	-0.89448	0.13253	glutathione S-transferase family protein	Post-translational modification, protein turnover, chaperone functions
sps_RS00935	-0.36645	0.37284	-0.71262	0.27677	-1.07907	0.00232	LysR family transcriptional regulator	Transcription
sps_RS00940	0.54453	0.33492	0.29238	0.96408	0.83691	0.11120	3-methyladenine DNA glycosylase	Replication and repair
sps_RS00945	0.13102	0.90991	0.22060	0.98934	0.35162	0.76046	hypothetical protein	Function Unknown
sps_RS00950	-0.31576	0.43085	0.00863	0.99482	-0.30713	0.45194	MFS transporter	Carbohydrate metabolism and transport
sps_RS00955	0.25018	0.69890	-0.56148	0.77553	-0.31131	0.63284	LysR family transcriptional regulator	Transcription
sps_RS00960	1.09218	0.00007	-0.19178	0.94623	0.90040	0.00140	hypothetical protein	Function Unknown
sps_RS00965	0.75758	0.14795	0.56887	0.73462	1.32645	0.00594	efflux RND transporter periplasmic adaptor subunit	Function Unknown
sps_RS00970	0.90428	0.05611	0.78406	0.40879	1.68834	0.00010	AcrB/AcrD/AcrF family protein	Function Unknown
sps_RS00975	-1.25967	0.23798	0.15419	0.99009	-1.10549	0.31588	hypothetical protein	NA
sps_RS00980	0.90537	0.02973	0.17492	0.98262	1.08029	0.00798	aminobenzoyl-glutamate transporter	Coenzyme metabolism
sps_RS00985	-0.09815	0.93313	-0.70334	0.89266	-0.80149	0.41864	AraC family transcriptional regulator	Transcription
sps_RS00990	-0.21696	0.73479	-0.19724	0.98464	-0.41421	0.48656	acylase	Function Unknown
sps_RS00995	-0.49057	0.10692	0.29963	0.79912	-0.19094	0.59710	LemA family protein	Function Unknown
sps_RS01000	-1.54887	0.00420	0.32469	0.96542	-1.22419	0.02784	DUF3137 domain-containing protein	Function Unknown
sps_RS01005	-0.53486	0.29721	-0.16181	0.98934	-0.69667	0.16022	lytic transglycosylase domain-containing protein	Cell wall/membrane/envelop biogenesis
sps_RS01010	-1.97664	0.00000	-0.09236	0.98934	-2.06899	0.00000	multidrug efflux protein	Function Unknown
sps_RS01015	-0.90538	0.05716	0.01968	0.99364	-0.88570	0.06420	LysR family transcriptional regulator	Transcription
sps_RS01020	-0.22185	0.65000	-0.78118	0.27831	-1.00304	0.01173	nuclear transport factor 2 family protein	Function Unknown
sps_RS01025	0.50774	0.24895	0.18116	0.97607	0.68890	0.10067	23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ	Function Unknown
sps_RS01030	0.28914	0.55451	-0.41205	0.80121	-0.12291	0.82384	16S rRNA methyltransferase	Cell wall/membrane/envelop biogenesis
sps_RS01035	-0.63777	0.63713	0.32415	0.98934	-0.31362	0.83244	DUF4260 domain-containing protein	Function Unknown
sps_RS01040	-0.19496	0.83225	-0.11286	0.99009	-0.30781	0.74300	LuxR family transcriptional regulator	Transcription
sps_RS01045	0.29688	0.46453	-0.37342	0.78069	-0.07654	0.87788	hypothetical protein	NA
sps_RS01050	-1.20538	0.00505	0.87756	0.25451	-0.32782	0.52951	GNAT family N-acetyltransferase	Secondary Structure
sps_RS01055	-1.37990	0.00241	0.95506	0.23208	-0.42484	0.43600	hypothetical protein	Coenzyme metabolism
sps_RS01060	-0.53546	0.39503	1.10559	0.23389	0.57014	0.36076	thioesterase	Secondary Structure
sps_RS01065	-0.12446	0.83999	0.49973	0.78435	0.37527	0.50428	alpha/beta hydrolase	Function Unknown
sps_RS01070	0.40670	0.51599	0.45256	0.88247	0.85926	0.12294	FAD-dependent oxidoreductase	Energy production and conversion
sps_RS01075	0.54317	0.42560	1.00394	0.40190	1.54711	0.00744	hypothetical protein	Energy production and conversion
sps_RS01080	1.96261	0.01045	-0.05525	0.99271	1.90736	0.01357	hypothetical protein	NA
sps_RS01085	1.07131	0.08047	0.40031	0.94155	1.47163	0.01172	hypothetical protein	Secondary Structure
sps_RS01090	1.19293	0.04565	0.59911	0.79421	1.79204	0.00147	hypothetical protein	Lipid metabolism
sps_RS05300	1.68546	0.02561	0.81915	0.77429	2.50460	0.00048	alanine dehydrogenase	Amino Acid metabolis and transport
sps_RS06490	3.26043	0.00000	-0.88888	0.38367	2.37154	0.00000	ATP phosphoribosyltransferase	Amino Acid metabolis and transport
sps_RS06495	3.11444	0.00000	-0.98326	0.52363	2.13118	0.00064	histidinol dehydrogenase	Amino Acid metabolis and transport
sps_RS06510	2.69092	0.00002	-0.21981	0.98934	2.47111	0.00011	imidazole glycerol phosphate synthase subunit HisH	Amino Acid metabolis and transport
