Gene	log2FoldChange (<0 higher in 4, >0 higher in 15)	Padj 4 v 15	log2FoldChange (<0 higher in 15, >0 higher in 20)	Padj 15 v 20	log2FoldChange (<0 higher in 4, >0 higher in 20)	Padj 4 v 20	Gene Name	Pathway
sps_RS00240	-0.11606	0.84928	-0.46452	0.33851	-0.58058	0.15059	allophanate hydrolase	Amino Acid metabolis and transport
sps_RS00245	-0.79540	0.21619	1.24170	0.03781	0.44630	0.40354	HDOD domain-containing protein	Signal Transduction
sps_RS00250	0.08417	0.91687	-0.37221	0.53000	-0.28804	0.56709	glycine--tRNA ligase subunit beta	Translation
sps_RS00255	0.06818	0.93891	-0.48584	0.43644	-0.41766	0.43195	glycine--tRNA ligase subunit alpha	Translation
sps_RS00260	-1.00087	0.09895	0.20489	0.80241	-0.79598	0.15772	DNA-3-methyladenine glycosylase I	Replication and repair
sps_RS00265	-1.43401	0.43631	-0.85389	0.66734	-2.28790	0.11225	hypothetical protein	NA
sps_RS00270	0.25141	0.53708	0.00452	0.99563	0.25593	0.41640	amidohydrolase	Secondary Structure
sps_RS00275	-0.55707	0.33997	-0.06451	0.92851	-0.62158	0.19989	MOSC domain-containing protein	Function Unknown
sps_RS00280	0.32384	0.62562	-0.45650	0.43213	-0.13267	0.80551	sulfurtransferase TusA	Inorganic ion transport and metabolism
sps_RS00285	-0.07205	0.90931	0.50215	0.25159	0.43010	0.24984	Cys-tRNA(Pro) deacylase	Function Unknown
sps_RS00290	-0.87200	0.21043	-0.63044	0.40789	-1.50244	0.00955	N-acetyltransferase	Function Unknown
sps_RS00295	-0.44462	0.47476	0.00993	0.99168	-0.43469	0.38118	acetyl-CoA C-acyltransferase FadA	Lipid metabolism
sps_RS00300	-0.47666	0.52573	0.09775	0.90710	-0.37892	0.52750	fatty acid oxidation complex subunit alpha FadB	Lipid metabolism
sps_RS00305	-0.51518	0.08228	-0.22990	0.51512	-0.74508	0.00405	Xaa-Pro dipeptidase	Amino Acid metabolis and transport
sps_RS00310	-0.67740	0.19252	0.71361	0.17292	0.03621	0.94315	YigZ family protein	Function Unknown
sps_RS00315	0.53739	0.17842	0.34310	0.42741	0.88049	0.00759	potassium transporter	Inorganic ion transport and metabolism
sps_RS00320	0.22539	0.78872	-1.13182	0.06292	-0.90643	0.10313	menaquinone-dependent protoporphyrinogen IX dehydrogenase	Coenzyme metabolism
sps_RS00325	1.19881	0.00284	-1.24239	0.00312	-0.04359	0.92920	ArsR family transcriptional regulator	Transcription
sps_RS00330	1.27928	0.00477	-1.18350	0.01475	0.09577	0.85956	menaquinone-dependent protoporphyrinogen IX dehydrogenase	Coenzyme metabolism
sps_RS00335	-1.19097	0.51886	-0.88853	0.63736	-2.07949	0.13884	hypothetical protein	NA
sps_RS00340	-0.22589	0.92242	-0.96287	0.57128	-1.18877	0.38636	hypothetical protein	NA
sps_RS00345	0.61979	0.06629	0.63610	0.06305	1.25589	0.00001	TrkH family potassium uptake protein	Inorganic ion transport and metabolism
sps_RS00350	0.36821	0.59735	0.37814	0.55210	0.74636	0.13321	Trk system potassium transporter TrkA	Inorganic ion transport and metabolism
sps_RS00355	0.71693	0.17511	-0.08077	0.90777	0.63616	0.18129	16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB	Translation
sps_RS00360	1.00426	0.04827	-0.14876	0.83276	0.85550	0.07397	methionyl-tRNA formyltransferase	Translation
sps_RS00365	0.56346	0.49724	-0.01635	0.98773	0.54711	0.40341	peptide deformylase	Translation
sps_RS00370	1.35864	0.00000	0.07798	0.86062	1.43662	0.00000	LysM peptidoglycan-binding domain-containing protein	Function Unknown
sps_RS02585	1.86642	0.00000	0.56655	0.14851	2.43297	0.00000	FAD-binding oxidoreductase	Amino Acid metabolis and transport
sps_RS00380	0.94426	0.45849	-1.85236	0.08348	-0.90810	0.37320	DUF494 domain-containing protein	Function Unknown
sps_RS00385	-0.76211	0.37375	0.36866	0.70185	-0.39346	0.60164	collagenase	Function Unknown
sps_RS00390	-0.16957	0.87174	-0.92877	0.21872	-1.09834	0.08970	hypothetical protein	Replication and repair
sps_RS00395	1.03186	0.03332	-0.94597	0.06571	0.08588	0.87510	threonylcarbamoyl-AMP synthase	Translation
sps_RS00400	0.88950	0.00706	-0.82080	0.02041	0.06870	0.86066	oxygen-dependent coproporphyrinogen oxidase	Coenzyme metabolism
sps_RS00410	-0.01833	0.98263	-0.08218	0.91083	-0.10052	0.85967	shikimate dehydrogenase	Amino Acid metabolis and transport
sps_RS00415	1.31246	0.13468	-1.19217	0.19165	0.12029	0.89921	DUF1488 domain-containing protein	Function Unknown
sps_RS00420	0.49531	0.54415	-1.34867	0.03700	-0.85336	0.16364	gamma carbonic anhydrase family protein	Function Unknown
sps_RS00425	-0.54383	0.78872	3.22036	0.02196	2.67653	0.03845	16S ribosomal RNA	NA
sps_RS00430	-0.04699	0.97956	1.34856	0.27389	1.30157	0.22491	23S ribosomal RNA	NA
sps_RS00435	-0.40523	0.79058	1.95620	0.07529	1.55097	0.12410	5S ribosomal RNA	NA
sps_RS00440	-0.63366	0.14943	-0.54429	0.23788	-1.17795	0.00127	PAS domain S-box protein	Signal Transduction
sps_RS00445	-0.37264	0.57810	0.47682	0.43228	0.10417	0.84705	hypothetical protein	Function Unknown
sps_RS00450	0.03072	0.97533	-0.40178	0.56225	-0.37106	0.51780	hypothetical protein	Intracellular trafficking and secretion
sps_RS00455	-0.66582	0.16636	0.48500	0.34902	-0.18082	0.70209	hypothetical protein	Cell motility
sps_RS00460	-1.12232	0.04411	0.00615	0.99714	-1.11618	0.02972	flagellar motor stator protein MotA	Cell motility
sps_RS00465	-0.93796	0.10238	0.14077	0.86062	-0.79719	0.13087	RNA polymerase sigma factor FliA	Transcription
sps_RS00470	-0.93977	0.62596	-1.86190	0.29416	-2.80167	0.05128	flagellar basal body protein FliL	Cell motility
sps_RS00475	-1.16666	0.03365	-0.22156	0.78139	-1.38822	0.00604	flagellar hook-length control protein FliK	Cell motility
sps_RS00480	-1.18742	0.12556	-0.38259	0.72946	-1.57001	0.02431	hypothetical protein	Function Unknown
sps_RS00485	-0.88146	0.40283	0.41326	0.73416	-0.46820	0.59727	flagellar export chaperone FliS	Cell motility
sps_RS00490	-0.65332	0.17612	-0.56425	0.28595	-1.21757	0.00272	flagellar hook protein FliD	Cell motility
sps_RS00495	0.16131	0.85025	-0.12798	0.87462	0.03333	0.96037	Lateral flagellin	Cell motility
sps_RS00500	-0.32462	0.69509	0.30876	0.69809	-0.01586	0.98101	hypothetical protein	Function Unknown
sps_RS00505	-0.35632	0.44158	0.03218	0.95382	-0.32414	0.38766	flagellar hook-associated protein 3	Cell motility
sps_RS00510	-0.15168	0.84525	0.03576	0.96394	-0.11592	0.84174	flagellar hook-associated protein FlgK	Cell motility
sps_RS00515	-0.25287	0.79659	0.41294	0.62901	0.16007	0.82906	peptidoglycan hydrolase	Function Unknown
sps_RS00520	-0.37770	0.62097	-0.05246	0.94894	-0.43016	0.45368	flagellar basal body P-ring protein FlgI	Cell motility
sps_RS00525	0.00826	0.99443	0.23421	0.80628	0.24247	0.74098	flagellar basal body L-ring protein FlgH	Cell motility
sps_RS00530	-0.34189	0.68162	0.15565	0.85553	-0.18623	0.77574	flagellar basal-body rod protein FlgG	Cell motility
sps_RS00535	-0.58147	0.61044	0.71043	0.48673	0.12896	0.88966	flagellar basal body rod protein FlgF	Cell motility
sps_RS00540	-0.20697	0.82709	0.20923	0.81277	0.00226	0.99769	flagellar hook protein FlgE	Cell motility
sps_RS00545	-0.60721	0.38792	-0.17022	0.84374	-0.77743	0.17717	flagellar biosynthesis protein FlgD	Cell motility
sps_RS00550	0.06595	0.96771	0.14404	0.91798	0.20999	0.84174	flagellar basal body rod protein FlgC	Cell motility
sps_RS00555	-0.98265	0.42453	0.27987	0.84583	-0.70278	0.49032	flagellar basal body rod protein FlgB	Cell motility
sps_RS00560	-0.51987	0.53574	0.32184	0.71507	-0.19803	0.77497	flagella basal body P-ring formation protein FlgA	Cell motility
sps_RS00565	0.25037	0.92064	-1.94963	0.25608	-1.69927	0.25944	flagellar biosynthesis anti-sigma factor FlgM	Function Unknown
sps_RS00570	-0.10067	0.93429	0.23931	0.81214	0.13864	0.85956	flagellar biosynthesis protein FlgN	Function Unknown
sps_RS00575	-0.00138	0.99848	-0.34514	0.56628	-0.34652	0.48188	hypothetical protein	Function Unknown
sps_RS00580	0.20491	0.74823	0.56084	0.26260	0.76575	0.06717	flagellar protein export ATPase FliI	Cell motility
sps_RS00585	-0.70401	0.25663	0.44616	0.51085	-0.25784	0.65798	flagellar assembly protein FliH	Cell motility
sps_RS00590	-0.48871	0.28956	-0.08218	0.89141	-0.57088	0.14533	flagellar motor switch protein FliG	Cell motility
sps_RS00595	-0.15678	0.82446	0.17937	0.78510	0.02259	0.96568	flagellar M-ring protein FliF	Cell motility
sps_RS00600	-0.32284	0.64949	-1.10724	0.08519	-1.43008	0.00674	flagellar hook-basal body complex protein FliE	Cell motility
sps_RS00605	-0.46345	0.31853	-0.47621	0.33358	-0.93966	0.01238	sigma-54-dependent Fis family transcriptional regulator	Signal Transduction
sps_RS00610	-0.17024	0.83534	-0.18904	0.80841	-0.35928	0.52591	OmpA family protein	Cell motility
sps_RS00615	-0.20536	0.75510	-0.92322	0.06696	-1.12858	0.00884	hypothetical protein	Function Unknown
sps_RS00620	0.76713	0.53320	-1.58443	0.15500	-0.81730	0.43850	flagellar motor switch protein FliN	Cell motility
sps_RS00625	-0.05790	0.96212	-0.47851	0.59535	-0.53641	0.45521	flagellar biosynthetic protein FliP	Cell motility
sps_RS00630	0.29244	0.83433	-0.75787	0.53361	-0.46544	0.65580	flagellar type III secretion system protein FliQ	Cell motility
sps_RS00635	-0.24345	0.79612	-0.90933	0.25111	-1.15278	0.07446	flagellar biosynthetic protein FliR	Cell motility
sps_RS00640	-0.26008	0.66483	-0.26507	0.65728	-0.52514	0.22497	flagellar biosynthesis protein FlhB	Cell motility
sps_RS00645	0.05900	0.94169	0.10436	0.87847	0.16336	0.75218	flagellar biosynthesis protein FlhA	Cell motility
sps_RS00650	0.24997	0.71322	0.13121	0.84583	0.38118	0.43818	alpha/beta hydrolase	Lipid metabolism
sps_RS00655	0.49280	0.37034	0.16333	0.79763	0.65613	0.14089	DUF885 domain-containing protein	Function Unknown
sps_RS00660	2.12346	0.00001	-2.70293	0.00000	-0.57947	0.28798	oxygen-independent coproporphyrinogen III oxidase	Coenzyme metabolism
sps_RS00665	-0.77624	0.17950	0.20199	0.79026	-0.57425	0.26932	DUF2489 domain-containing protein	Function Unknown
sps_RS00670	-0.01797	0.98272	-0.92428	0.09344	-0.94225	0.05141	Der GTPase-activating protein YihI	Function Unknown
sps_RS00675	-1.81564	0.10235	1.13367	0.35876	-0.68197	0.53210	methyltransferase domain-containing protein	Function Unknown
sps_RS00680	-0.13333	0.88794	-0.21415	0.79665	-0.34748	0.57907	cytochrome c4	Energy production and conversion
sps_RS00685	-0.35507	0.23257	-0.82505	0.00220	-1.18012	0.00000	YihA family ribosome biogenesis GTP-binding protein	Function Unknown
sps_RS00690	0.17213	0.76693	0.34061	0.48738	0.51274	0.19554	DNA polymerase I	Replication and repair
sps_RS00695	-1.18298	0.00388	-0.42263	0.42506	-1.60560	0.00002	isoprenoid biosynthesis protein ElbB	Secondary Structure
sps_RS00700	0.15644	0.84021	0.17133	0.81299	0.32778	0.54237	rhomboid family intramembrane serine protease GlpG	Function Unknown
sps_RS00705	-0.61374	0.22605	-0.06075	0.92867	-0.67450	0.12597	thiosulfate sulfurtransferase GlpE	Inorganic ion transport and metabolism
sps_RS00710	-0.02044	0.97755	-0.64126	0.17302	-0.66170	0.11061	L-threonine 3-dehydrogenase	Amino Acid metabolis and transport
sps_RS00715	-0.91945	0.03872	-0.94404	0.04075	-1.86350	0.00000	glycine C-acetyltransferase	Coenzyme metabolism
sps_RS00720	-0.14035	0.87740	-0.61635	0.37573	-0.75670	0.19331	TetR family transcriptional regulator	Transcription
sps_RS00725	0.39262	0.50334	0.77365	0.11012	1.16627	0.00435	3-deoxy-D-manno-octulosonic acid transferase	Cell wall/membrane/envelop biogenesis
sps_RS00730	0.75915	0.12385	0.78854	0.10841	1.54769	0.00012	3-deoxy-D-manno-octulosonic acid kinase	Transcription
sps_RS00735	0.83075	0.10008	0.86716	0.08815	1.69791	0.00005	dTDP-4-dehydrorhamnose reductase	Cell wall/membrane/envelop biogenesis
sps_RS00740	1.43891	0.00036	-0.16495	0.78736	1.27396	0.00129	dTDP-glucose 4,6-dehydratase	Cell wall/membrane/envelop biogenesis
sps_RS00745	1.43200	0.00034	0.47199	0.35199	1.90399	0.00000	dTDP-4-dehydrorhamnose 3,5-epimerase	Cell wall/membrane/envelop biogenesis
sps_RS00750	-0.18590	0.95171	-1.52191	0.48020	-1.70781	0.33903	family 2 glycosyl transferase	Cell wall/membrane/envelop biogenesis
sps_RS00755	0.33407	0.67011	0.74812	0.23710	1.08219	0.03972	glycosyltransferase family 9 protein	Cell wall/membrane/envelop biogenesis
sps_RS00760	0.24455	0.89175	-0.90900	0.51512	-0.66445	0.57864	hypothetical protein	Function Unknown
sps_RS00765	-0.93976	0.60034	-0.53075	0.77425	-1.47052	0.26337	hypothetical protein	Function Unknown
sps_RS00770	-0.03896	0.95744	-0.20669	0.71085	-0.24565	0.56976	hypothetical protein	Function Unknown
sps_RS00775	0.05866	0.95353	-0.19912	0.80727	-0.14045	0.83006	glycosyl transferase	Cell wall/membrane/envelop biogenesis
sps_RS00780	0.29814	0.87103	-0.50158	0.75541	-0.20343	0.87735	glycosyl transferase	NA
sps_RS00785	0.52331	0.39406	-0.45321	0.46016	0.07010	0.90270	lipopolysaccharide heptosyltransferase family protein	Cell wall/membrane/envelop biogenesis
sps_RS00790	0.41563	0.58503	-0.98990	0.10065	-0.57427	0.31154	CDP-glycerol--poly(glycerophosphate) glycerophosphotransferase	Function Unknown
sps_RS00795	0.54355	0.71717	-0.83597	0.52135	-0.29242	0.80431	glycerol-3-phosphate cytidylyltransferase	Lipid metabolism
sps_RS00800	0.30657	0.77308	-0.78781	0.35876	-0.48124	0.53072	ADP-glyceromanno-heptose 6-epimerase	Cell wall/membrane/envelop biogenesis
sps_RS00805	0.62105	0.28010	0.18496	0.79026	0.80601	0.09352	bifunctional D-glycero-beta-D-manno-heptose-7-phosphate kinase/D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase HldE	Coenzyme metabolism
sps_RS00810	0.32862	0.75665	-1.08011	0.18817	-0.75149	0.31736	pantetheine-phosphate adenylyltransferase	Coenzyme metabolism
sps_RS00815	0.98909	0.00903	-0.39651	0.39703	0.59258	0.12497	capsule assembly Wzi family protein	Function Unknown
sps_RS00820	0.97212	0.02371	0.86065	0.05829	1.83276	0.00000	bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase	Replication and repair
sps_RS00825	0.51993	0.62760	-0.52756	0.59752	-0.00763	0.99311	hypothetical protein	NA
sps_RS00830	1.34848	0.04121	0.39729	0.64119	1.74576	0.00324	GTP 3',8-cyclase MoaA	Coenzyme metabolism
sps_RS00835	1.76123	0.00207	-1.12540	0.08563	0.63583	0.30454	bifunctional molybdopterin-guanine dinucleotide biosynthesis adaptor protein MobB/molybdopterin molybdotransferase MoeA	Coenzyme metabolism
sps_RS00840	0.84105	0.13628	-0.80912	0.16032	0.03193	0.95890	molybdenum cofactor guanylyltransferase	Coenzyme metabolism
sps_RS00845	1.36133	0.00081	-0.46634	0.36256	0.89499	0.02969	ABC transporter	Inorganic ion transport and metabolism
sps_RS00850	1.32894	0.02167	-0.34109	0.66007	0.98784	0.07938	ABC transporter permease	Inorganic ion transport and metabolism
sps_RS00855	0.76160	0.17950	-1.41717	0.00562	-0.65557	0.20103	tungsten ABC transporter substrate-binding protein	Coenzyme metabolism
sps_RS00860	1.17987	0.05185	-0.30234	0.70794	0.87753	0.13259	sigma-54-dependent Fis family transcriptional regulator	Signal Transduction
sps_RS00865	0.91210	0.00099	-0.76741	0.01168	0.14469	0.65994	HAMP domain-containing protein	Signal Transduction
sps_RS00870	-0.55764	0.53574	-0.29393	0.76376	-0.85157	0.21312	VUT family protein	Function Unknown
sps_RS00875	0.78273	0.13378	-0.21350	0.74844	0.56923	0.24231	ABC transporter substrate-binding protein	Function Unknown
sps_RS00880	0.88524	0.04372	-0.54622	0.26911	0.33902	0.45082	isochorismate synthase	Coenzyme metabolism
sps_RS00885	-0.51423	0.05660	0.14652	0.67885	-0.36771	0.15493	DUF3391 domain-containing protein	Signal Transduction
sps_RS00890	0.58251	0.30055	0.41886	0.47507	1.00137	0.02470	paraquat-inducible membrane protein A	Function Unknown
sps_RS03160	0.07993	0.94014	2.00290	0.00054	2.08283	0.00007	PLP-dependent cysteine synthase family protein	Amino Acid metabolis and transport
sps_RS00900	-0.62339	0.23670	0.37601	0.51360	-0.24738	0.62092	glutathione-disulfide reductase	Post-translational modification, protein turnover, chaperone functions
sps_RS00905	-0.92151	0.36423	1.62297	0.06719	0.70147	0.36966	hypothetical protein	NA
sps_RS00910	-0.20600	0.70750	0.32429	0.50064	0.11829	0.77694	hypothetical protein	Function Unknown
sps_RS00915	1.93744	0.00004	-0.97467	0.08306	0.96277	0.05335	oligopeptidase A	Amino Acid metabolis and transport
sps_RS00920	0.98983	0.48647	-0.71781	0.61773	0.27202	0.83010	hypothetical protein	NA
sps_RS00925	-0.15176	0.87740	-0.73890	0.31896	-0.89066	0.15434	thioesterase	Function Unknown
sps_RS00930	-0.60084	0.41725	-0.32857	0.69152	-0.92941	0.11265	glutathione S-transferase family protein	Post-translational modification, protein turnover, chaperone functions
sps_RS00935	-0.58956	0.16664	0.70342	0.09374	0.11385	0.78934	LysR family transcriptional regulator	Transcription
sps_RS00940	-0.55705	0.38792	0.70739	0.23752	0.15034	0.79730	3-methyladenine DNA glycosylase	Replication and repair
sps_RS00945	-0.39612	0.76412	-0.07792	0.95424	-0.47404	0.63034	hypothetical protein	Function Unknown
sps_RS00950	0.35637	0.43706	0.48951	0.23175	0.84588	0.01102	MFS transporter	Carbohydrate metabolism and transport
sps_RS00955	-0.43926	0.55476	-0.14623	0.85810	-0.58549	0.29921	LysR family transcriptional regulator	Transcription
sps_RS00960	0.71536	0.01806	-1.13226	0.00008	-0.41690	0.17215	hypothetical protein	Function Unknown
sps_RS00965	-0.25329	0.73597	0.26008	0.71307	0.00679	0.99108	efflux RND transporter periplasmic adaptor subunit	Function Unknown
sps_RS00970	0.18435	0.80199	-0.07210	0.92057	0.11225	0.83946	AcrB/AcrD/AcrF family protein	Function Unknown
sps_RS00975	-1.10179	0.39190	-0.70283	0.62074	-1.80462	0.08009	hypothetical protein	NA
sps_RS00980	0.32049	0.59850	0.94015	0.04111	1.26064	0.00148	aminobenzoyl-glutamate transporter	Coenzyme metabolism
sps_RS00985	0.22481	0.87178	-0.40738	0.74176	-0.18257	0.85719	AraC family transcriptional regulator	Transcription
sps_RS00990	0.55664	0.39053	-0.29646	0.67674	0.26018	0.65187	acylase	Function Unknown
sps_RS00995	-0.54515	0.11029	0.47986	0.18167	-0.06529	0.85376	LemA family protein	Function Unknown
sps_RS01000	-0.30000	0.72458	0.11979	0.88971	-0.18021	0.78228	DUF3137 domain-containing protein	Function Unknown
sps_RS01005	-0.28023	0.68559	0.73797	0.17302	0.45774	0.35565	lytic transglycosylase domain-containing protein	Cell wall/membrane/envelop biogenesis
sps_RS01010	-1.06744	0.01270	0.69435	0.16375	-0.37309	0.38758	multidrug efflux protein	Function Unknown
sps_RS01015	-1.01390	0.04849	0.76343	0.17540	-0.25047	0.63690	LysR family transcriptional regulator	Transcription
sps_RS01020	-1.22954	0.00183	-0.35245	0.51744	-1.58199	0.00002	nuclear transport factor 2 family protein	Function Unknown
sps_RS01025	0.76305	0.08883	0.05130	0.93521	0.81435	0.04333	23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ	Function Unknown
sps_RS01030	-0.10409	0.87740	0.39506	0.45145	0.29097	0.51985	16S rRNA methyltransferase	Cell wall/membrane/envelop biogenesis
sps_RS01035	0.03594	0.98371	-1.64586	0.20223	-1.60992	0.15772	DUF4260 domain-containing protein	Function Unknown
sps_RS01040	-0.14636	0.90695	-1.01380	0.23171	-1.16016	0.11201	LuxR family transcriptional regulator	Transcription
sps_RS01045	0.24158	0.63759	0.32106	0.47945	0.56263	0.11954	hypothetical protein	NA
sps_RS01050	-0.22642	0.75008	0.06818	0.92754	-0.15824	0.77098	GNAT family N-acetyltransferase	Secondary Structure
sps_RS01055	-0.22125	0.75957	0.31312	0.62994	0.09187	0.86889	hypothetical protein	Coenzyme metabolism
sps_RS01060	1.21174	0.04051	0.46580	0.51644	1.67754	0.00141	thioesterase	Secondary Structure
sps_RS01065	0.68715	0.22989	0.18013	0.79928	0.86728	0.07369	alpha/beta hydrolase	Function Unknown
sps_RS01070	1.59628	0.00265	-0.00125	1.00000	1.59503	0.00180	FAD-dependent oxidoreductase	Energy production and conversion
sps_RS06510	0.84270	0.31981	1.39447	0.06544	2.23717	0.00044	imidazole glycerol phosphate synthase subunit HisH	Amino Acid metabolis and transport
sps_RS08380	0.56412	0.52287	1.58831	0.02040	2.15244	0.00030	GMC family oxidoreductase	Amino Acid metabolis and transport
sps_RS09555	1.99492	0.00000	1.53586	0.00026	3.53079	0.00000	branched-chain amino acid ABC transporter permease	Amino Acid metabolis and transport
sps_RS03280	0.51460	0.58481	1.91249	0.00469	2.42709	0.00005	glucan 1,4-alpha-glucosidase	Carbohydrate metabolism and transport
sps_RS26405	1.48583	0.00005	0.73359	0.09206	2.21942	0.00000	sporulation protein	Cell cycle control and mitosis
sps_RS01230	0.28657	0.81506	2.76310	0.00030	3.04968	0.00001	PAS domain-containing protein	Cell motility
sps_RS03520	0.29347	0.75888	1.86217	0.00397	2.15565	0.00020	flagellin	Cell motility
sps_RS21855	1.30205	0.02145	0.76038	0.20871	2.06242	0.00003	hypothetical protein	Cell motility
